user_org_id	user_id	doc_ids
1	10010	17d880e3-c0b0-4db0-9d3f-bdcd1ee6e9d2,420c193f-8ae8-45aa-ae4f-efb24b61a271,88002a8a-a626-499a-9d5d-7178a23cb1bb
1	10006	17d880e3-c0b0-4db0-9d3f-bdcd1ee6e9d2,21403515-3922-49aa-ae76-fee2b1f39994,22223c5f-4253-4a67-a1ec-d3a233119c73,88002a8a-a626-499a-9d5d-7178a23cb1bb
1	10059	17d880e3-c0b0-4db0-9d3f-bdcd1ee6e9d2,c2be81d6-3d01-4b05-8ccf-7658f769c8ca
1	10048	17d880e3-c0b0-4db0-9d3f-bdcd1ee6e9d2,420c193f-8ae8-45aa-ae4f-efb24b61a271,b05cbe77-f53f-448e-89a2-ad8742cd4167
1	10060	17d880e3-c0b0-4db0-9d3f-bdcd1ee6e9d2,22223c5f-4253-4a67-a1ec-d3a233119c73,54054b84-5101-4efb-995e-69892063cc9e,610d2690-76d4-4134-af12-c81676647038,ba665b89-0622-4a67-930f-ee8987e4fd11,e1c856d6-ab51-44f1-9076-c006fb1c9030,f1124655-169e-4c99-a7d8-3f815245d036
1	10014	17d880e3-c0b0-4db0-9d3f-bdcd1ee6e9d2,71817e3e-9843-46eb-9dfc-2ff6880c0c62,7a7df48f-5cc7-4c08-bb60-df34106a5a54
1	10001	17d880e3-c0b0-4db0-9d3f-bdcd1ee6e9d2,1cd598ff-7d13-4fee-b298-fae4c5ff392f,21403515-3922-49aa-ae76-fee2b1f39994,7a7df48f-5cc7-4c08-bb60-df34106a5a54,88002a8a-a626-499a-9d5d-7178a23cb1bb
1	10051	54054b84-5101-4efb-995e-69892063cc9e,71817e3e-9843-46eb-9dfc-2ff6880c0c62
1	10008	1cd598ff-7d13-4fee-b298-fae4c5ff392f,71817e3e-9843-46eb-9dfc-2ff6880c0c62,7a7df48f-5cc7-4c08-bb60-df34106a5a54
1	10053	22223c5f-4253-4a67-a1ec-d3a233119c73,71817e3e-9843-46eb-9dfc-2ff6880c0c62,b05cbe77-f53f-448e-89a2-ad8742cd4167
1	10016	71817e3e-9843-46eb-9dfc-2ff6880c0c62,e1c856d6-ab51-44f1-9076-c006fb1c9030
1	10012	420c193f-8ae8-45aa-ae4f-efb24b61a271,610d2690-76d4-4134-af12-c81676647038,71817e3e-9843-46eb-9dfc-2ff6880c0c62,7a7df48f-5cc7-4c08-bb60-df34106a5a54
1	10052	22223c5f-4253-4a67-a1ec-d3a233119c73,71817e3e-9843-46eb-9dfc-2ff6880c0c62,7a7df48f-5cc7-4c08-bb60-df34106a5a54,b05cbe77-f53f-448e-89a2-ad8742cd4167
1	10026	610d2690-76d4-4134-af12-c81676647038,76d7a324-e7f5-43bf-bd11-8d979cd23690,f1124655-169e-4c99-a7d8-3f815245d036
1	10034	610d2690-76d4-4134-af12-c81676647038,f5211998-9d83-4306-8ca4-4fd5daa6b1ed
1	10021	1cd598ff-7d13-4fee-b298-fae4c5ff392f,610d2690-76d4-4134-af12-c81676647038
1	10039	610d2690-76d4-4134-af12-c81676647038,809fb62d-079b-404a-8f02-aba8db876d05,c2be81d6-3d01-4b05-8ccf-7658f769c8ca,f1124655-169e-4c99-a7d8-3f815245d036
1	10054	22223c5f-4253-4a67-a1ec-d3a233119c73,54054b84-5101-4efb-995e-69892063cc9e,610d2690-76d4-4134-af12-c81676647038
1	10041	ba665b89-0622-4a67-930f-ee8987e4fd11,f5211998-9d83-4306-8ca4-4fd5daa6b1ed
1	10057	809fb62d-079b-404a-8f02-aba8db876d05,ba665b89-0622-4a67-930f-ee8987e4fd11,ee2835d3-670a-42cb-a166-447a482d9f32
1	10017	809fb62d-079b-404a-8f02-aba8db876d05,ba665b89-0622-4a67-930f-ee8987e4fd11,e1c856d6-ab51-44f1-9076-c006fb1c9030
1	10019	ba665b89-0622-4a67-930f-ee8987e4fd11
1	10031	21403515-3922-49aa-ae76-fee2b1f39994,76d7a324-e7f5-43bf-bd11-8d979cd23690,ba665b89-0622-4a67-930f-ee8987e4fd11,ee2835d3-670a-42cb-a166-447a482d9f32
1	10037	76d7a324-e7f5-43bf-bd11-8d979cd23690,809fb62d-079b-404a-8f02-aba8db876d05,ba665b89-0622-4a67-930f-ee8987e4fd11
1	10030	54054b84-5101-4efb-995e-69892063cc9e,e1c856d6-ab51-44f1-9076-c006fb1c9030
1	10004	b05cbe77-f53f-448e-89a2-ad8742cd4167,e1c856d6-ab51-44f1-9076-c006fb1c9030
1	10035	1cd598ff-7d13-4fee-b298-fae4c5ff392f,76d7a324-e7f5-43bf-bd11-8d979cd23690,809fb62d-079b-404a-8f02-aba8db876d05,88002a8a-a626-499a-9d5d-7178a23cb1bb,e1c856d6-ab51-44f1-9076-c006fb1c9030
1	10007	1cd598ff-7d13-4fee-b298-fae4c5ff392f,e1c856d6-ab51-44f1-9076-c006fb1c9030
1	10043	1cd598ff-7d13-4fee-b298-fae4c5ff392f,22223c5f-4253-4a67-a1ec-d3a233119c73,88002a8a-a626-499a-9d5d-7178a23cb1bb,ee2835d3-670a-42cb-a166-447a482d9f32,f5211998-9d83-4306-8ca4-4fd5daa6b1ed
1	10047	1cd598ff-7d13-4fee-b298-fae4c5ff392f
1	10040	420c193f-8ae8-45aa-ae4f-efb24b61a271,f5211998-9d83-4306-8ca4-4fd5daa6b1ed
1	10058	3e60ae90-3e59-411b-9838-9c949bd34fc6,420c193f-8ae8-45aa-ae4f-efb24b61a271,809fb62d-079b-404a-8f02-aba8db876d05
1	10049	3e60ae90-3e59-411b-9838-9c949bd34fc6,420c193f-8ae8-45aa-ae4f-efb24b61a271
1	10042	420c193f-8ae8-45aa-ae4f-efb24b61a271,c2be81d6-3d01-4b05-8ccf-7658f769c8ca
1	10027	21403515-3922-49aa-ae76-fee2b1f39994
1	10038	21403515-3922-49aa-ae76-fee2b1f39994
1	10050	21403515-3922-49aa-ae76-fee2b1f39994,ee2835d3-670a-42cb-a166-447a482d9f32
1	10029	3e60ae90-3e59-411b-9838-9c949bd34fc6,76d7a324-e7f5-43bf-bd11-8d979cd23690
1	10044	3e60ae90-3e59-411b-9838-9c949bd34fc6,76d7a324-e7f5-43bf-bd11-8d979cd23690
1	10032	54054b84-5101-4efb-995e-69892063cc9e,76d7a324-e7f5-43bf-bd11-8d979cd23690,c2be81d6-3d01-4b05-8ccf-7658f769c8ca,ee2835d3-670a-42cb-a166-447a482d9f32
1	10028	c2be81d6-3d01-4b05-8ccf-7658f769c8ca
1	10061	c2be81d6-3d01-4b05-8ccf-7658f769c8ca
1	10009	ee2835d3-670a-42cb-a166-447a482d9f32,f5211998-9d83-4306-8ca4-4fd5daa6b1ed
1	10025	f5211998-9d83-4306-8ca4-4fd5daa6b1ed
1	10033	ee2835d3-670a-42cb-a166-447a482d9f32,f5211998-9d83-4306-8ca4-4fd5daa6b1ed
1	10022	88002a8a-a626-499a-9d5d-7178a23cb1bb,b05cbe77-f53f-448e-89a2-ad8742cd4167
1	10011	88002a8a-a626-499a-9d5d-7178a23cb1bb,f1124655-169e-4c99-a7d8-3f815245d036
1	10003	7a7df48f-5cc7-4c08-bb60-df34106a5a54
1	10024	7a7df48f-5cc7-4c08-bb60-df34106a5a54
1	10005	3e60ae90-3e59-411b-9838-9c949bd34fc6
1	10002	3e60ae90-3e59-411b-9838-9c949bd34fc6
1	10013	3e60ae90-3e59-411b-9838-9c949bd34fc6,f1124655-169e-4c99-a7d8-3f815245d036
1	10056	809fb62d-079b-404a-8f02-aba8db876d05,b05cbe77-f53f-448e-89a2-ad8742cd4167
1	10023	b05cbe77-f53f-448e-89a2-ad8742cd4167
1	10055	54054b84-5101-4efb-995e-69892063cc9e
1	10046	54054b84-5101-4efb-995e-69892063cc9e
1	10018	f1124655-169e-4c99-a7d8-3f815245d036
1	10036	f1124655-169e-4c99-a7d8-3f815245d036
2	10098	511d030d-d7e2-4679-b6d5-2a7a0703c76d,87c35834-1d63-4f1d-9f5c-184202cb63c4,9d4d2ded-2493-4664-abd9-9b8b7b40a876,a2ee97da-e150-48b6-a862-a7f09a8739b4
2	10067	511d030d-d7e2-4679-b6d5-2a7a0703c76d,c75c87bf-7d75-4a99-a15b-cc768ccc7d09,ec8e5427-384a-4cc6-9833-334f3fcffd3a
