org_id	user_id	session_ids	conversation_types
1	10008	10002_10008,10006_10008,10008_10015,group_39e6659f-2f1a-4ffe-955c-d58040c7a8ee,group_15d35249-4db9-4342-8ce1-a579ba67403a	1,1,1,3,3
1	10002	10002_10008,10002_10039,10002_10054,group_398d4678-2e59-4ab8-90f4-1977cb0c87bc	1,1,1,3
1	10009	10006_10009	1
1	10006	10006_10009,10004_10006,10006_10008,group_398d4678-2e59-4ab8-90f4-1977cb0c87bc,group_39e6659f-2f1a-4ffe-955c-d58040c7a8ee,group_3ffb246e-79d5-4106-bd40-07df085ca46a,group_e7c9d0cc-d32f-4a4c-b972-802abcbf95d0	1,1,1,3,3,3,3
1	10004	10004_10006,group_398d4678-2e59-4ab8-90f4-1977cb0c87bc,group_39e6659f-2f1a-4ffe-955c-d58040c7a8ee,group_3ffb246e-79d5-4106-bd40-07df085ca46a	1,3,3,3
1	10012	10012_10021,10012_10028,group_ae52aa93-2ebe-42ac-b6a8-3a31e261ca8f,group_da7a23fc-4465-4fc4-a48c-5f95e8eb3b30	1,1,3,3
1	10021	10012_10021,10021_10045,group_b46ece2c-b623-42f7-a152-238a64c4095a	1,1,3
1	10019	10016_10019,group_b46ece2c-b623-42f7-a152-238a64c4095a,group_da7a23fc-4465-4fc4-a48c-5f95e8eb3b30,group_124a25b2-ace2-487d-a94c-2f3739840c33	1,3,3,3
1	10016	10016_10019,10016_10038,group_ae52aa93-2ebe-42ac-b6a8-3a31e261ca8f,group_b46ece2c-b623-42f7-a152-238a64c4095a,group_67975ae7-310e-4208-bf7e-016397369003,group_63c7e8ad-2725-4220-9bac-b834554f5b7e	1,1,3,3,3,3
1	10013	10013_10014	1
1	10014	10013_10014,10014_10017,10007_10014,group_ae52aa93-2ebe-42ac-b6a8-3a31e261ca8f	1,1,1,3
1	10017	10014_10017,group_b46ece2c-b623-42f7-a152-238a64c4095a,group_da7a23fc-4465-4fc4-a48c-5f95e8eb3b30,group_3d60ea72-bd14-4a9f-9519-ca74044f7ae2,group_63c7e8ad-2725-4220-9bac-b834554f5b7e	1,3,3,3,3
1	10022	10022_10031,group_0474a31d-5a86-4dfa-b93e-3410851b7fc0,group_67975ae7-310e-4208-bf7e-016397369003,group_e7c9d0cc-d32f-4a4c-b972-802abcbf95d0	1,3,3,3
1	10031	10022_10031,10023_10031,10031_10040,group_0474a31d-5a86-4dfa-b93e-3410851b7fc0	1,1,1,3
1	10030	10023_10030	1
1	10023	10023_10030,10023_10025,10023_10031,group_fd117d22-1af5-438b-a8e8-0b8b05a99547	1,1,1,3
1	10025	10023_10025,group_fd117d22-1af5-438b-a8e8-0b8b05a99547,group_0661a8bb-1bc3-4550-9852-3264f2ed9753	1,3,3
1	10038	10038_10041,10016_10038,group_d10424ec-a690-434d-9488-59059fd3d237,group_26793c15-d865-4555-bcdb-d637ebefee7c	1,1,3,3
1	10041	10038_10041,group_105879ed-92c0-4d91-996a-4437a9633832	1,3
1	10033	10033_10036,group_f0a11198-eaa1-4123-bb9b-31e280cc6bda,group_d10424ec-a690-434d-9488-59059fd3d237,group_8f13d898-82b2-40bd-87cd-d415552e8d36	1,3,3,3
1	10036	10033_10036,10015_10036,group_19409ee0-0f86-4dd8-a1cf-9b1f5de01d2e,group_15d35249-4db9-4342-8ce1-a579ba67403a	1,1,3,3
1	10039	10032_10039,10002_10039,group_f0a11198-eaa1-4123-bb9b-31e280cc6bda	1,1,3
